Analyte,Min,Max,Mean,Median,DF,Chain
PFBA,ND,ND,ND,ND,0.00%,Short
PFPeA,ND,ND,ND,ND,12.50%,Short
PFHxA,1.8,20.3,4.9,2.8,100.00%,Short
PFHpA,ND,21.8,2.7,ND,12.50%,Short
PFOA,ND,10,1.3,ND,12.50%,Short
PFNA,ND,ND,ND,ND,0.00%,Long
PFDA,ND,ND,ND,ND,0.00%,Long
PFUA,ND,22.9,4.6,ND,25.00%,Long
PFDoA,ND,18.6,2.3,ND,12.50%,Long
PFTrDA,ND,14,1.7,ND,12.50%,Long
PFBS,ND,29.1,5.2,ND,25.00%,Short
PFPeS,ND,3.9,0.5,ND,12.50%,Short
PFHxS,ND,21.3,3.3,ND,25.00%,Short
PFHpS,ND,15.5,3.3,ND,25.00%,Short
PFOS,ND,ND,ND,ND,0.00%,Short
PFNS,ND,7.8,1,ND,12.50%,Long
PFDS,ND,12.5,3,ND,25.00%,Long
_PFCA,143.1,,,,,
_PFSA,129.8,,,,,
_PFAS,272.9,,,,,
