Analyte,Min,Max,Mean,Median,DF,Chain
PFBA,ND,2.2,0.3,ND,15.40%,Short
PFPeA,ND,2.1,0.2,ND,7.70%,Short
PFHxA,ND,18.7,2.8,ND,30.80%,Short
PFHpA,ND,7.2,0.6,ND,7.70%,Short
PFOA,ND,6.3,0.9,ND,15.40%,Short
PFNA,ND,ND,ND,ND,0.00%,Long
PFDA,ND,ND,ND,ND,0.00%,Long
PFUA,ND,9.8,2.1,ND,30.80%,Long
PFDoA,ND,ND,ND,ND,0.00%,Long
PFTrDA,ND,ND,ND,ND,0.00%,Long
PFBS,ND,10,2.6,ND,38.50%,Short
PFPeS,ND,4,0.6,ND,15.40%,Short
PFHxS,ND,12.1,1.8,ND,23.10%,Short
PFHpS,ND,6.9,1,ND,15.40%,Short
PFOS,ND,ND,ND,ND,0.00%,Short
PFNS,ND,8.9,1.7,ND,23.10%,Long
PFDS,ND,88.2,12.2,ND,46.20%,Long
_PFCA,88.6,,,,,
_PFSA,257,,,,,
_PFAS,345.7,,,,,
