Analyte,Min,Max,Mean,Median,DF,Chain
PFBA,ND,21.8,2.6,ND,20.00%,Short
PFPeA,2.3,170,52.3,46.9,100.00%,Short
PFHxA,1.5,187,80.7,74.7,100.00%,Short
PFHpA,ND,32.5,11.6,3.7,60.00%,Short
PFOA,ND,65.5,27.3,11.7,90.00%,Short
PFNA,ND,ND,ND,ND,0.00%,Long
PFDA,ND,ND,ND,ND,0.00%,Long
PFUA,ND,5.2,0.5,ND,10.00%,Long
PFDoA,ND,ND,ND,ND,0.00%,Long
PFTrDA,ND,ND,ND,ND,0.00%,Long
PFBS,ND,44.7,17.7,11.4,80.00%,Short
PFPeS,ND,9.3,2.3,ND,30.00%,Short
PFHxS,ND,31.8,11.2,4.4,60.00%,Short
PFHpS,ND,ND,ND,ND,0.00%,Short
PFOS,ND,38,12.9,4.6,50.00%,Short
PFNS,ND,ND,ND,ND,0.00%,Long
PFDS,ND,16.2,4.3,ND,40.00%,Long
_PFCA,1750.6,,,,,
_PFSA,483.7,,,,,
_PFAS,2234.3,,,,,
