Analyte,Min,Max,Mean,Median,DF,Chain
PFBA,ND,ND,ND,ND,0.00%,Short
PFPeA,ND,21.8,5.8,1.8,75.00%,Short
PFHxA,3.2,59.6,18,6.2,100.00%,Short
PFHpA,ND,10.4,1.7,ND,25.00%,Short
PFOA,1.6,19.2,6.9,4.8,100.00%,Short
PFNA,ND,ND,ND,ND,0.00%,Long
PFDA,ND,ND,ND,ND,0.00%,Long
PFUA,ND,ND,ND,ND,0.00%,Long
PFDoA,ND,ND,ND,ND,0.00%,Long
PFTrDA,ND,ND,ND,ND,0.00%,Long
PFBS,2.3,11.4,5.2,4.9,100.00%,Short
PFPeS,ND,5.6,0.7,ND,12.50%,Short
PFHxS,ND,33.9,6.4,2.4,50.00%,Short
PFHpS,ND,ND,ND,ND,0.00%,Short
PFOS,ND,17.4,2.2,ND,12.50%,Short
PFNS,ND,9,1.1,ND,12.50%,Long
PFDS,ND,23.7,7.3,6.9,62.50%,Long
ƩPFCA,259,,,,,
ƩPFSA,182.7,,,,,
ƩPFAS,441.7,,,,,
